run_id,iteration,scenario,scenario_desc,api,latency_ms,size_bytes
89,12,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.4374,554
90,12,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.6779,574
91,12,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.4657,554
92,12,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.801,87
93,12,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,10.6566,18380
94,12,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.0731,13238
95,12,C4_collection,Colecao (50 usuarios completos),REST,1.7106,29943
96,12,C4_collection,Colecao (50 usuarios completos),GraphQL,4.4057,30062
97,13,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5425,554
98,13,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,4.2193,574
99,13,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.4462,554
100,13,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.2449,87
101,13,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,9.3195,18380
102,13,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.032,13238
103,13,C4_collection,Colecao (50 usuarios completos),REST,1.4885,29943
104,13,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9362,30062
105,14,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.3935,554
106,14,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.5252,574
107,14,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.3252,554
108,14,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.1301,87
109,14,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,9.3985,18380
110,14,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.0926,13238
111,14,C4_collection,Colecao (50 usuarios completos),REST,1.5795,29943
112,14,C4_collection,Colecao (50 usuarios completos),GraphQL,3.527,30062
113,15,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5581,554
114,15,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.5991,574
115,15,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.2966,554
116,15,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.2648,87
117,15,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,10.3545,18380
118,15,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.2572,13238
119,15,C4_collection,Colecao (50 usuarios completos),REST,1.6884,29943
120,15,C4_collection,Colecao (50 usuarios completos),GraphQL,3.6578,30062
121,16,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.3985,554
122,16,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.5338,574
123,16,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5453,554
124,16,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.2307,87
125,16,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.3134,18380
126,16,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.482,13238
127,16,C4_collection,Colecao (50 usuarios completos),REST,1.739,29943
128,16,C4_collection,Colecao (50 usuarios completos),GraphQL,3.6067,30062
129,17,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5388,554
130,17,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.6179,574
131,17,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5979,554
132,17,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.4933,87
133,17,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.6984,18380
134,17,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.6289,13238
135,17,C4_collection,Colecao (50 usuarios completos),REST,1.6494,29943
136,17,C4_collection,Colecao (50 usuarios completos),GraphQL,4.277,30062
137,18,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.5043,554
138,18,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.0453,574
139,18,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.6876,554
140,18,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7107,87
141,18,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.4713,18380
142,18,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.4156,13238
143,18,C4_collection,Colecao (50 usuarios completos),REST,2.0119,29943
144,18,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9272,30062
145,19,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.7935,554
146,19,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9383,574
147,19,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.6396,554
148,19,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.8205,87
149,19,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.9118,18380
150,19,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.452,13238
151,19,C4_collection,Colecao (50 usuarios completos),REST,1.8715,29943
152,19,C4_collection,Colecao (50 usuarios completos),GraphQL,3.8914,30062
153,20,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.7533,554
154,20,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.8981,574
155,20,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.7331,554
156,20,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.6315,87
157,20,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.5003,18380
158,20,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.6672,13238
159,20,C4_collection,Colecao (50 usuarios completos),REST,1.7484,29943
160,20,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9132,30062
161,21,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.6728,554
162,21,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.8157,574
163,21,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,2.5274,554
164,21,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.5665,87
165,21,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.3876,18380
166,21,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.5282,13238
167,21,C4_collection,Colecao (50 usuarios completos),REST,1.7842,29943
168,21,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9731,30062
169,22,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8052,554
170,22,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.8433,574
171,22,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.7766,554
172,22,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.5226,87
173,22,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.1423,18380
174,22,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.8172,13238
175,22,C4_collection,Colecao (50 usuarios completos),REST,2.0343,29943
176,22,C4_collection,Colecao (50 usuarios completos),GraphQL,3.8222,30062
177,23,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8705,554
178,23,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.147,574
179,23,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.724,554
180,23,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.0147,87
181,23,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.8619,18380
182,23,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.8796,13238
183,23,C4_collection,Colecao (50 usuarios completos),REST,2.1027,29943
184,23,C4_collection,Colecao (50 usuarios completos),GraphQL,4.1879,30062
185,24,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.8667,554
186,24,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.1315,574
187,24,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,2.0353,554
188,24,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.0543,87
189,24,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,13.7135,18380
190,24,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.5598,13238
191,24,C4_collection,Colecao (50 usuarios completos),REST,1.8687,29943
